term,frequency_doc1,frequency_doc2,sum_of_frequencies
us,52,44,96
shall,68,14,82
thou,77,4,81
upon,54,18,72
yet,54,9,63
would,43,16,59
good,46,13,59
time,42,13,55
make,35,20,55
thee,52,3,55
hath,50,4,54
come,43,10,53
thy,49,3,52
like,37,15,52
one,30,21,51
also,1,47,48
say,37,9,46
well,33,11,44
must,36,8,44
great,29,15,44
know,32,9,41
may,29,10,39
things,22,15,37
give,23,14,37
done,32,4,36
lord,33,2,35
man,27,7,34
men,15,19,34
let,32,2,34
king,27,5,32
see,24,8,32
day,19,11,30
night,27,1,28
made,12,13,25
take,15,10,25
many,9,16,25
without,12,13,25
love,19,4,23
hand,19,4,23
nature,17,6,23
blood,21,2,23
said,4,19,23
cannot,20,2,22
though,17,5,22
much,12,9,21
death,19,1,20
every,15,5,20
heart,18,2,20
nothing,15,5,20
land,3,17,20
still,17,3,20
strangers,2,17,19
strange,16,3,19
call,8,11,19
worthy,16,3,19
thought,14,5,19
till,17,2,19
life,17,2,19
first,11,8,19
new,12,7,19
ever,13,5,18
light,9,9,18
put,13,5,18
came,5,13,18
two,8,10,18
people,4,14,18
three,8,10,18
god,11,6,17
set,7,10,17
state,7,10,17
place,10,7,17
leave,12,5,17
heaven,12,5,17
art,15,2,17
way,15,1,16
whose,12,4,16
ere,15,1,16
could,12,4,16
ye,3,13,16
live,9,7,16
might,6,10,16
noble,13,2,15
tell,10,5,15
shew,14,1,15
little,4,11,15
never,12,3,15
father,12,3,15
name,11,3,14
wife,13,1,14
none,11,3,14
world,4,9,13
go,11,2,13
hands,12,1,13
feast,5,8,13
within,10,3,13
bring,9,4,13
better,8,5,13
therefore,3,10,13
friends,10,2,12
grace,10,2,12
eyes,9,3,12
thus,9,3,12
use,4,8,12
stand,10,2,12
eye,11,1,12
thing,6,6,12
wood,11,1,12
given,7,5,12
unto,3,8,11
since,6,5,11
full,10,1,11
thine,10,1,11
forth,5,6,11
almost,8,3,11
hold,9,2,11
sight,9,2,11
house,6,5,11
long,3,8,11
peace,9,2,11
desire,7,4,11
stay,4,7,11
former,5,6,11
earth,6,4,10
country,5,5,10
trouble,7,3,10
words,9,1,10
end,4,6,10
far,1,9,10
rest,8,2,10
part,5,5,10
known,7,3,10
less,7,3,10
away,9,1,10
enough,7,3,10
places,1,8,9
greater,2,7,9
return,3,6,9
false,8,1,9
last,8,1,9
get,8,1,9
hast,8,1,9
birds,3,6,9
high,5,4,9
whole,3,5,8
body,3,5,8
reason,5,3,8
meet,7,1,8
either,1,7,8
fortune,7,1,8
others,3,5,8
sea,3,5,8
free,5,3,8
children,6,2,8
power,7,1,8
strength,3,5,8
rather,7,1,8
round,5,3,8
care,5,3,8
brought,2,6,8
times,4,4,8
went,4,4,8
together,4,4,8
sit,7,1,8
left,4,3,7
unknown,2,5,7
ten,5,2,7
happy,3,4,7
fit,4,3,7
send,6,1,7
late,6,1,7
indeed,4,3,7
right,3,4,7
answer,5,2,7
instruments,3,4,7
stood,4,3,7
gracious,6,1,7
receive,5,2,7
neither,1,6,7
knowledge,3,4,7
fall,6,1,7
least,3,4,7
silver,1,6,7
present,6,1,7
colours,1,6,7
countries,3,4,7
another,5,2,7
thousand,4,3,7
order,2,5,7
command,6,1,7
messenger,4,2,6
point,5,1,6
next,1,5,6
abroad,2,4,6
mother,5,1,6
back,1,5,6
met,3,3,6
water,3,3,6
besides,3,3,6
sound,5,1,6
cause,5,1,6
lost,5,1,6
found,3,3,6
purpose,4,2,6
saw,5,1,6
already,4,2,6
foot,2,4,6
health,5,1,6
memory,2,4,6
rise,5,1,6
manner,1,5,6
doth,5,1,6
horses,5,1,6
servant,4,2,6
chamber,5,1,6
marry,2,4,6
lay,5,1,6
business,5,1,6
strong,5,1,6
kind,1,5,6
speech,4,2,6
past,2,4,6
young,3,3,6
towards,3,2,5
heavens,4,1,5
blessing,3,2,5
labour,3,2,5
seas,1,4,5
estate,2,3,5
remember,3,2,5
become,4,1,5
office,3,2,5
old,4,1,5
person,3,2,5
sweet,4,1,5
large,2,3,5
touch,3,2,5
crown,3,2,5
wrought,4,1,5
violent,4,1,5
divine,1,4,5
thanks,3,2,5
offer,2,3,5
servants,3,2,5
attend,4,1,5
question,4,1,5
bad,4,1,5
mans,3,2,5
cold,4,1,5
bless,3,2,5
going,1,4,5
hide,4,1,5
whether,4,1,5
single,3,2,5
move,4,1,5
company,2,3,5
pleasure,4,1,5
wine,3,2,5
gods,2,3,5
cut,3,2,5
worse,4,1,5
holy,3,2,5
black,4,1,5
hither,4,1,5
doubt,4,1,5
service,3,2,5
twenty,3,1,4
rich,1,3,4
told,2,2,4
respect,1,3,4
wise,2,2,4
course,2,2,4
making,2,2,4
charge,3,1,4
hill,2,2,4
delight,2,2,4
dost,3,1,4
taking,1,3,4
obedience,3,1,4
mercy,2,2,4
prayers,3,1,4
sorts,1,3,4
spirit,2,2,4
relation,1,3,4
houses,1,3,4
age,1,3,4
cast,3,1,4
loose,3,1,4
sundry,3,1,4
wherein,1,3,4
humbly,1,3,4
nay,2,2,4
turn,2,2,4
hearts,3,1,4
ill,3,1,4
cure,3,1,4
gave,2,2,4
hard,3,1,4
lust,2,2,4
execution,3,1,4
white,1,3,4
voice,1,3,4
seemeth,1,3,4
ready,3,1,4
distance,2,2,4
alive,3,1,4
vantage,3,1,4
sleep,3,1,4
greatest,2,2,4
top,1,3,4
mens,2,2,4
greatness,3,1,4
colour,1,3,4
suffer,3,1,4
open,3,1,4
begin,2,1,3
points,1,2,3
flesh,1,2,3
pardon,2,1,3
morning,2,1,3
lesser,2,1,3
smile,2,1,3
especially,1,2,3
twelve,1,2,3
avoid,1,2,3
draw,2,1,3
glory,1,2,3
degrees,1,2,3
snow,1,2,3
causes,2,1,3
son,1,2,3
bath,1,2,3
according,2,1,3
tables,2,1,3
danger,2,1,3
names,1,2,3
cleave,2,1,3
angels,2,1,3
hearing,2,1,3
descended,1,2,3
dainty,1,2,3
advice,2,1,3
plant,2,1,3
finger,2,1,3
forget,1,2,3
naked,2,1,3
hereafter,2,1,3
paid,2,1,3
wonder,2,1,3
particular,1,2,3
senses,1,2,3
invention,1,2,3
feet,2,1,3
minute,2,1,3
evils,2,1,3
mile,2,1,3
conference,1,2,3
commend,2,1,3
daughters,1,2,3
read,1,2,3
trees,2,1,3
tender,2,1,3
ground,2,1,3
taste,1,2,3
beside,2,1,3
proud,2,1,3
promise,2,1,3
save,1,2,3
ones,2,1,3
faith,2,1,3
truly,2,1,3
show,2,1,3
ends,2,1,3
vices,1,2,3
trade,2,1,3
led,2,1,3
discern,1,2,3
beard,2,1,3
fast,2,1,3
direction,2,1,3
saying,1,2,3
pious,2,1,3
secret,2,1,3
tree,2,1,3
understand,1,2,3
hate,2,1,3
particulars,1,2,3
carried,1,2,3
temple,1,2,3
carry,2,1,3
practise,1,2,3
altogether,1,2,3
space,1,2,3
lies,2,1,3
offices,2,1,3
pride,1,2,3
bare,1,2,3
midst,1,1,2
desolate,1,1,2
grown,1,1,2
nearest,1,1,2
demand,1,1,2
satisfy,1,1,2
shed,1,1,2
sun,1,1,2
bent,1,1,2
vessels,1,1,2
account,1,1,2
sought,1,1,2
alone,1,1,2
cherubin,1,1,2
secrets,1,1,2
spacious,1,1,2
titles,1,1,2
whore,1,1,2
raise,1,1,2
abound,1,1,2
consent,1,1,2
robe,1,1,2
goodly,1,1,2
cannons,1,1,2
depart,1,1,2
walls,1,1,2
west,1,1,2
swear,1,1,2
assisted,1,1,2
net,1,1,2
knit,1,1,2
among,1,1,2
goodness,1,1,2
garments,1,1,2
navigation,1,1,2
speak,1,1,2
producing,1,1,2
stop,1,1,2
east,1,1,2
hat,1,1,2
presently,1,1,2
affection,1,1,2
table,1,1,2
chambers,1,1,2
living,1,1,2
twice,1,1,2
effects,1,1,2
deceive,1,1,2
conduct,1,1,2
minds,1,1,2
farther,1,1,2
marble,1,1,2
images,1,1,2
needed,1,1,2
thirty,1,1,2
inhabitants,1,1,2
swelling,1,1,2
hurt,1,1,2
yellow,1,1,2
aid,1,1,2
low,1,1,2
males,1,1,2
accounted,1,1,2
tigers,1,1,2
corn,1,1,2
aright,1,1,2
pure,1,1,2
flying,1,1,2
entrance,1,1,2
foolish,1,1,2
rage,1,1,2
consider,1,1,2
mortified,1,1,2
gladly,1,1,2
force,1,1,2
finding,1,1,2
learn,1,1,2
ignorant,1,1,2
officers,1,1,2
whereby,1,1,2
treasure,1,1,2
beaten,1,1,2
thunders,1,1,2
posterity,1,1,2
request,1,1,2
disorder,1,1,2
savage,1,1,2
deeper,1,1,2
humble,1,1,2
reported,1,1,2
settled,1,1,2
held,1,1,2
convey,1,1,2
happily,1,1,2
dull,1,1,2
crave,1,1,2
urine,1,1,2
stone,1,1,2
vice,1,1,2
regard,1,1,2
